,name,image,depth
0,houston_1_1_H_-16_000000,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.7490196  0.6313726  0.5372549 ]
  [0.7411765  0.62352943 0.5294118 ]
  [0.7372549  0.61960787 0.5254902 ]
  ...
  [0.7137255  0.6509804  0.5882353 ]
  [0.7137255  0.6509804  0.58431375]
  [0.7137255  0.64705884 0.58431375]]

 [[0.7647059  0.64705884 0.54901963]
  [0.75686276 0.6392157  0.54509807]
  [0.7490196  0.627451   0.53333336]
  ...
  [0.7137255  0.6509804  0.5882353 ]
  [0.7137255  0.6509804  0.5882353 ]
  [0.7137255  0.64705884 0.58431375]]

 [[0.78039217 0.6627451  0.56078434]
  [0.77254903 0.654902   0.5568628 ]
  [0.7529412  0.63529414 0.5411765 ]
  ...
  [0.7137255  0.6509804  0.5882353 ]
  [0.7137255  0.6509804  0.5882353 ]
  [0.7137255  0.6509804  0.5882353 ]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.01176471 0.01176471 0.01176471]
 [0.00784314 0.00784314 0.00784314 ... 0.01176471 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
1,houston_1_1_H_-16_000001,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.73333335 0.6117647  0.5137255 ]
  [0.7294118  0.60784316 0.50980395]
  [0.7176471  0.59607846 0.49803922]
  ...
  [0.80784315 0.7254902  0.6509804 ]
  [0.80784315 0.7254902  0.6509804 ]
  [0.80784315 0.7254902  0.6509804 ]]

 [[0.73333335 0.6117647  0.5137255 ]
  [0.7254902  0.6039216  0.5058824 ]
  [0.70980394 0.58431375 0.49019608]
  ...
  [0.80784315 0.7254902  0.6509804 ]
  [0.80784315 0.7254902  0.6509804 ]
  [0.80784315 0.7254902  0.6509804 ]]

 [[0.7294118  0.60784316 0.50980395]
  [0.72156864 0.59607846 0.49803922]
  [0.69803923 0.57254905 0.47843137]
  ...
  [0.80784315 0.7254902  0.6509804 ]
  [0.80784315 0.7254902  0.6509804 ]
  [0.80784315 0.7254902  0.6509804 ]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.01176471 0.01176471 0.01176471]
 [0.00784314 0.00784314 0.00784314 ... 0.01176471 0.01176471 0.01176471]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
2,houston_1_1_H_-16_000002,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.81960785 0.70980394 0.6156863 ]
  [0.8156863  0.70980394 0.61960787]
  [0.8156863  0.70980394 0.61960787]
  ...
  [0.8117647  0.7254902  0.654902  ]
  [0.8117647  0.7254902  0.654902  ]
  [0.8117647  0.7254902  0.654902  ]]

 [[0.8235294  0.7176471  0.62352943]
  [0.8235294  0.7176471  0.627451  ]
  [0.8235294  0.7176471  0.6313726 ]
  ...
  [0.8156863  0.7294118  0.65882355]
  [0.8117647  0.7254902  0.654902  ]
  [0.8117647  0.7254902  0.654902  ]]

 [[0.83137256 0.72156864 0.6313726 ]
  [0.83137256 0.7254902  0.63529414]
  [0.83137256 0.7254902  0.6392157 ]
  ...
  [0.8156863  0.73333335 0.65882355]
  [0.8117647  0.7294118  0.654902  ]
  [0.8117647  0.7294118  0.654902  ]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.01176471 0.01176471 0.01176471]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
3,houston_1_1_H_-16_000003,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.70980394 0.61960787 0.5568628 ]
  [0.70980394 0.61960787 0.5568628 ]
  [0.70980394 0.61960787 0.5568628 ]
  ...
  [0.80784315 0.7254902  0.65882355]
  [0.8117647  0.7294118  0.6627451 ]
  [0.8156863  0.73333335 0.6666667 ]]

 [[0.7137255  0.62352943 0.56078434]
  [0.7137255  0.62352943 0.56078434]
  [0.7137255  0.62352943 0.56078434]
  ...
  [0.8117647  0.72156864 0.654902  ]
  [0.80784315 0.7254902  0.65882355]
  [0.8117647  0.7294118  0.65882355]]

 [[0.7137255  0.62352943 0.56078434]
  [0.7137255  0.62352943 0.56078434]
  [0.7137255  0.62352943 0.56078434]
  ...
  [0.8117647  0.72156864 0.6509804 ]
  [0.8117647  0.72156864 0.654902  ]
  [0.8117647  0.72156864 0.654902  ]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
4,houston_1_1_H_-16_000004,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.6039216  0.5176471  0.42745098]
  [0.6039216  0.5176471  0.42745098]
  [0.63529414 0.54509807 0.45490196]
  ...
  [0.7607843  0.6901961  0.6392157 ]
  [0.7607843  0.6901961  0.6392157 ]
  [0.7607843  0.6901961  0.6392157 ]]

 [[0.60784316 0.5176471  0.42745098]
  [0.6117647  0.52156866 0.43137255]
  [0.67058825 0.5803922  0.49019608]
  ...
  [0.7607843  0.6901961  0.63529414]
  [0.7607843  0.6901961  0.63529414]
  [0.7607843  0.6901961  0.63529414]]

 [[0.61960787 0.5294118  0.4392157 ]
  [0.6509804  0.5568628  0.47058824]
  [0.70980394 0.61960787 0.5294118 ]
  ...
  [0.7647059  0.6901961  0.63529414]
  [0.7647059  0.6901961  0.63529414]
  [0.7647059  0.6901961  0.63529414]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
5,houston_1_1_H_-16_000005,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.5764706  0.5058824  0.42745098]
  [0.5764706  0.5058824  0.42745098]
  [0.5764706  0.5058824  0.42745098]
  ...
  [0.4392157  0.4        0.41568628]
  [0.42352942 0.3882353  0.40784314]
  [0.42352942 0.3882353  0.40784314]]

 [[0.5764706  0.5058824  0.42745098]
  [0.5764706  0.5058824  0.42745098]
  [0.5764706  0.5058824  0.42745098]
  ...
  [0.44705883 0.4117647  0.41960785]
  [0.43529412 0.4        0.4117647 ]
  [0.43137255 0.39607844 0.40784314]]

 [[0.5764706  0.5058824  0.42745098]
  [0.5764706  0.5058824  0.42745098]
  [0.5764706  0.5058824  0.43137255]
  ...
  [0.45490196 0.41568628 0.42352942]
  [0.44705883 0.40784314 0.41960785]
  [0.44313726 0.40392157 0.41568628]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
6,houston_1_1_H_-16_000006,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.6313726  0.5647059  0.5254902 ]
  [0.61960787 0.5529412  0.5176471 ]
  [0.6039216  0.5372549  0.5019608 ]
  ...
  [0.21960784 0.21568628 0.28627452]
  [0.21960784 0.21568628 0.28627452]
  [0.22352941 0.21960784 0.2901961 ]]

 [[0.62352943 0.5568628  0.5176471 ]
  [0.6156863  0.54901963 0.5137255 ]
  [0.6039216  0.5372549  0.49803922]
  ...
  [0.21960784 0.21568628 0.28627452]
  [0.21960784 0.21568628 0.28627452]
  [0.21960784 0.21568628 0.28627452]]

 [[0.61960787 0.5529412  0.5137255 ]
  [0.6156863  0.54901963 0.50980395]
  [0.6        0.53333336 0.49803922]
  ...
  [0.22745098 0.22352941 0.29411766]
  [0.22745098 0.22352941 0.29411766]
  [0.22352941 0.21960784 0.2901961 ]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
7,houston_1_1_H_-16_000007,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.6        0.5137255  0.45490196]
  [0.60784316 0.5176471  0.45882353]
  [0.6156863  0.5254902  0.4627451 ]
  ...
  [0.26666668 0.25490198 0.32156864]
  [0.26666668 0.25490198 0.32156864]
  [0.26666668 0.25490198 0.32156864]]

 [[0.5921569  0.5058824  0.44705883]
  [0.59607846 0.5058824  0.44705883]
  [0.59607846 0.5058824  0.44313726]
  ...
  [0.27058825 0.25882354 0.3254902 ]
  [0.27058825 0.25882354 0.3254902 ]
  [0.27058825 0.25882354 0.3254902 ]]

 [[0.5803922  0.49411765 0.43137255]
  [0.5764706  0.49019608 0.42745098]
  [0.57254905 0.48235294 0.41568628]
  ...
  [0.27058825 0.25882354 0.3254902 ]
  [0.27058825 0.25882354 0.3254902 ]
  [0.27058825 0.25882354 0.32941177]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
8,houston_1_1_H_-16_000008,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.7019608  0.6431373  0.63529414]
  [0.7058824  0.64705884 0.6392157 ]
  [0.7019608  0.64705884 0.63529414]
  ...
  [0.3372549  0.3137255  0.3137255 ]
  [0.34117648 0.31764707 0.31764707]
  [0.34117648 0.31764707 0.31764707]]

 [[0.67058825 0.6117647  0.6       ]
  [0.6745098  0.6156863  0.6039216 ]
  [0.6666667  0.60784316 0.59607846]
  ...
  [0.3254902  0.3019608  0.3019608 ]
  [0.33333334 0.30980393 0.30980393]
  [0.3372549  0.3137255  0.3137255 ]]

 [[0.64705884 0.5882353  0.5764706 ]
  [0.6509804  0.5921569  0.5803922 ]
  [0.6509804  0.5921569  0.5764706 ]
  ...
  [0.3254902  0.3019608  0.3019608 ]
  [0.32941177 0.30588236 0.30588236]
  [0.33333334 0.30980393 0.30980393]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
9,houston_1_1_H_-16_000009,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.6901961  0.62352943 0.5764706 ]
  [0.6862745  0.61960787 0.57254905]
  [0.68235296 0.6156863  0.5686275 ]
  ...
  [0.30588236 0.3019608  0.3647059 ]
  [0.30980393 0.30588236 0.36862746]
  [0.30980393 0.30588236 0.36862746]]

 [[0.6862745  0.61960787 0.57254905]
  [0.68235296 0.6156863  0.5686275 ]
  [0.6784314  0.6117647  0.5647059 ]
  ...
  [0.30980393 0.3019608  0.36078432]
  [0.30980393 0.30588236 0.3647059 ]
  [0.30980393 0.30588236 0.36862746]]

 [[0.6862745  0.61960787 0.5686275 ]
  [0.68235296 0.6156863  0.5647059 ]
  [0.68235296 0.6117647  0.56078434]
  ...
  [0.32156864 0.3137255  0.36862746]
  [0.3137255  0.30980393 0.3647059 ]
  [0.30980393 0.30588236 0.3647059 ]]]","[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]
 [0.00784314 0.00784314 0.00784314 ... 0.00784314 0.00784314 0.00784314]]"
